term,coefficient,std_error,t_stat,p_value_normal,ci95_low,ci95_high,nobs,clusters,rank,sample,outcome,controls_spec,controls,model
post,0.38427740520106823,0.1674557319055049,2.294799949982695,0.021744591523526296,0.05606417066627867,0.7124906397358578,2904,40,450,exclude_2020_2023,firearm_suicide_rate,no_controls,,average_post
post,0.20698704232505527,0.16193099072410028,1.278242301856363,0.2011640049152793,-0.11039769949418127,0.5243717841442919,2904,40,450,exclude_2020_2023,nonfirearm_suicide_rate,no_controls,,average_post
post,0.5912644475260578,0.22072238442821748,2.678769754403168,0.007389318531983614,0.15864857404675153,1.023880321005364,2904,40,450,exclude_2020_2023,total_suicide_rate,no_controls,,average_post
post,0.0018381029962257767,0.006806388013664242,0.27005557022839016,0.7871175023407798,-0.011502417510556136,0.01517862350300769,2904,40,450,exclude_2020_2023,firearm_suicide_share,no_controls,,average_post
post,0.025347281342029238,0.01770890040974793,1.4313300518691003,0.15233564499143112,-0.009362163461076704,0.06005672614513518,2904,40,450,exclude_2020_2023,ln_firearm_suicide_rate,no_controls,,average_post
post,0.018349378000299885,0.019933492498950548,0.9205300075371106,0.3572958593383365,-0.02072026729764319,0.05741902329824296,2904,40,450,exclude_2020_2023,ln_nonfirearm_suicide_rate,no_controls,,average_post
post,0.020836837739734104,0.01202261369943287,1.733137091539173,0.08307130509514572,-0.0027274851111543236,0.04440116059062253,2904,40,450,exclude_2020_2023,ln_total_suicide_rate,no_controls,,average_post
post,0.0072767436136391694,0.028245663839548227,0.2576233879640889,0.7966975778579986,-0.04808475751187535,0.06263824473915369,2904,40,450,exclude_2020_2023,logit_firearm_suicide_share,no_controls,,average_post
post,0.3886184497874914,0.15450309885349858,2.5152793223648113,0.011893811062871488,0.08579237603463419,0.6914445235403486,2904,40,455,exclude_2020_2023,firearm_suicide_rate,core_controls,ln_population;unemployment_rate;ln_pcpi_real_2024;violent_rate;property_rate,average_post
post,0.20430112805809372,0.1451662492888635,1.407359693171922,0.15932075690262082,-0.08022472054807875,0.4888269766642662,2904,40,455,exclude_2020_2023,nonfirearm_suicide_rate,core_controls,ln_population;unemployment_rate;ln_pcpi_real_2024;violent_rate;property_rate,average_post
post,0.5929195778455891,0.19579784120371704,3.028223264365251,0.0024599626946818338,0.2091558090863037,0.9766833466048745,2904,40,455,exclude_2020_2023,total_suicide_rate,core_controls,ln_population;unemployment_rate;ln_pcpi_real_2024;violent_rate;property_rate,average_post
post,0.0024773663858734395,0.0063092165744520375,0.3926583208294132,0.694571858251514,-0.009888698100052554,0.014843430871799432,2904,40,455,exclude_2020_2023,firearm_suicide_share,core_controls,ln_population;unemployment_rate;ln_pcpi_real_2024;violent_rate;property_rate,average_post
post,0.022470612154771728,0.01623662044832474,1.3839463838110597,0.16637487258309103,-0.009353163923944762,0.054294388233488214,2904,40,455,exclude_2020_2023,ln_firearm_suicide_rate,core_controls,ln_population;unemployment_rate;ln_pcpi_real_2024;violent_rate;property_rate,average_post
post,0.012598674005558665,0.019352118560038614,0.6510229857507408,0.515031649128433,-0.02533147837211702,0.050528826383234346,2904,40,455,exclude_2020_2023,ln_nonfirearm_suicide_rate,core_controls,ln_population;unemployment_rate;ln_pcpi_real_2024;violent_rate;property_rate,average_post
post,0.01696437928407413,0.011255258611345327,1.5072402927262813,0.13174907573606795,-0.005095927594162712,0.03902468616231097,2904,40,455,exclude_2020_2023,ln_total_suicide_rate,core_controls,ln_population;unemployment_rate;ln_pcpi_real_2024;violent_rate;property_rate,average_post
post,0.010139239820154558,0.02648204514287492,0.3828722353372528,0.7018144986120405,-0.041765568659880285,0.0620440483001894,2904,40,455,exclude_2020_2023,logit_firearm_suicide_share,core_controls,ln_population;unemployment_rate;ln_pcpi_real_2024;violent_rate;property_rate,average_post
post,0.4542766918239991,0.15201290254255032,2.9884087746883288,0.0028043420389352995,0.1563314028406005,0.7522219808073978,3627,40,579,exclude_post_bruen_years,firearm_suicide_rate,no_controls,,average_post
post,0.254738535130695,0.1430381499838889,1.7809132399949767,0.07492662533254672,-0.025616238837727234,0.5350933090991172,3627,40,579,exclude_post_bruen_years,nonfirearm_suicide_rate,no_controls,,average_post
post,0.709015226954719,0.20723805819651195,3.4212597489327976,0.0006233176955146677,0.3028286328895556,1.1152018210198824,3627,40,579,exclude_post_bruen_years,total_suicide_rate,no_controls,,average_post
post,-6.568180975841109e-05,0.005824957868090145,-0.011275928727008368,0.9910033012103072,-0.011482599231215095,0.011351235611698273,3627,40,579,exclude_post_bruen_years,firearm_suicide_share,no_controls,,average_post
post,0.02825766111558803,0.014569445155603974,1.9395152535866498,0.052438628983071535,-0.00029845138939576035,0.056813773620571814,3627,40,579,exclude_post_bruen_years,ln_firearm_suicide_rate,no_controls,,average_post
post,0.02833984829173336,0.018329075276886098,1.5461690163644732,0.12206375421393194,-0.007585139250963394,0.06426483583443011,3627,40,579,exclude_post_bruen_years,ln_nonfirearm_suicide_rate,no_controls,,average_post
post,0.028778282729422955,0.010896767050764247,2.6409927454037465,0.008266348939546518,0.00742061930992503,0.050135946148920876,3627,40,579,exclude_post_bruen_years,ln_total_suicide_rate,no_controls,,average_post
post,0.0001177410389807676,0.02412869368201545,0.00487971046142987,0.9961065698130933,-0.047174498577769515,0.04740998065573105,3627,40,579,exclude_post_bruen_years,logit_firearm_suicide_share,no_controls,,average_post
post,0.4695877114686164,0.14592369470039396,3.218036059412828,0.0012907159004677347,0.18357726985584422,0.7555981530813886,3627,40,584,exclude_post_bruen_years,firearm_suicide_rate,core_controls,ln_population;unemployment_rate;ln_pcpi_real_2024;violent_rate;property_rate,average_post
post,0.22797390702566633,0.13027048148457948,1.7500043327363637,0.08011756609671529,-0.02735623668410947,0.48330405073544214,3627,40,584,exclude_post_bruen_years,nonfirearm_suicide_rate,core_controls,ln_population;unemployment_rate;ln_pcpi_real_2024;violent_rate;property_rate,average_post
post,0.6975616184942851,0.19339492266491173,3.606928294094486,0.00030984323960226123,0.3185075700710581,1.0766156669175122,3627,40,584,exclude_post_bruen_years,total_suicide_rate,core_controls,ln_population;unemployment_rate;ln_pcpi_real_2024;violent_rate;property_rate,average_post
post,0.0011767236289452615,0.005287501667822052,0.22254813385807587,0.8238872071881148,-0.009186779639985961,0.011540226897876484,3627,40,584,exclude_post_bruen_years,firearm_suicide_share,core_controls,ln_population;unemployment_rate;ln_pcpi_real_2024;violent_rate;property_rate,average_post
post,0.027725585504100054,0.013407918321553667,2.0678516112027823,0.038653978768467954,0.001446065593854868,0.054005105414345236,3627,40,584,exclude_post_bruen_years,ln_firearm_suicide_rate,core_controls,ln_population;unemployment_rate;ln_pcpi_real_2024;violent_rate;property_rate,average_post
post,0.022761614630260947,0.017520582196510672,1.299135746459045,0.19389734742299958,-0.011578726474899971,0.057101955735421865,3627,40,584,exclude_post_bruen_years,ln_nonfirearm_suicide_rate,core_controls,ln_population;unemployment_rate;ln_pcpi_real_2024;violent_rate;property_rate,average_post
post,0.02606845226795549,0.010477131377712395,2.488128794815909,0.01284172176988848,0.0055332747676391965,0.04660362976827179,3627,40,584,exclude_post_bruen_years,ln_total_suicide_rate,core_controls,ln_population;unemployment_rate;ln_pcpi_real_2024;violent_rate;property_rate,average_post
post,0.005151892033652924,0.022110673552893114,0.23300475317174654,0.8157577148483524,-0.038185028130017576,0.04848881219732343,3627,40,584,exclude_post_bruen_years,logit_firearm_suicide_share,core_controls,ln_population;unemployment_rate;ln_pcpi_real_2024;violent_rate;property_rate,average_post
