stack_id,treated_state,adoption_year,included,reason_excluded,control_state_count,control_states
AL_2023,Alabama,2023,False,no treated post-treatment observations after calendar restrictions,14,Colorado;Illinois;Louisiana;Michigan;Minnesota;Nevada;New Mexico;North Carolina;Oregon;Pennsylvania;South Carolina;Virginia;Washington;Wisconsin
AK_2003,Alaska,2003,True,,27,Arizona;Arkansas;Florida;Georgia;Idaho;Indiana;Kentucky;Louisiana;Maine;Mississippi;Montana;Nevada;New Hampshire;North Carolina;North Dakota;Oklahoma;Oregon;Pennsylvania;South Carolina;South Dakota;Tennessee;Texas;Utah;Virginia;Washington;West Virginia;Wyoming
AZ_2010,Arizona,2010,True,,31,Arkansas;Colorado;Florida;Georgia;Idaho;Indiana;Kentucky;Louisiana;Maine;Michigan;Minnesota;Mississippi;Missouri;Montana;Nevada;New Hampshire;New Mexico;North Carolina;North Dakota;Ohio;Oklahoma;Oregon;Pennsylvania;South Carolina;South Dakota;Tennessee;Texas;Utah;Virginia;Washington;West Virginia
AR_2021,Arkansas,2021,True,,14,Colorado;Illinois;Louisiana;Michigan;Minnesota;Nevada;New Mexico;North Carolina;Oregon;Pennsylvania;South Carolina;Virginia;Washington;Wisconsin
FL_2023,Florida,2023,False,no treated post-treatment observations after calendar restrictions,14,Colorado;Illinois;Louisiana;Michigan;Minnesota;Nevada;New Mexico;North Carolina;Oregon;Pennsylvania;South Carolina;Virginia;Washington;Wisconsin
GA_2022,Georgia,2022,False,no treated post-treatment observations after calendar restrictions,14,Colorado;Illinois;Louisiana;Michigan;Minnesota;Nevada;New Mexico;North Carolina;Oregon;Pennsylvania;South Carolina;Virginia;Washington;Wisconsin
ID_2016,Idaho,2016,True,,24,Arkansas;Colorado;Florida;Georgia;Indiana;Iowa;Louisiana;Michigan;Minnesota;Montana;Nebraska;Nevada;New Mexico;North Carolina;Ohio;Oregon;Pennsylvania;South Carolina;Tennessee;Texas;Utah;Virginia;Washington;Wisconsin
IN_2022,Indiana,2022,False,no treated post-treatment observations after calendar restrictions,14,Colorado;Illinois;Louisiana;Michigan;Minnesota;Nevada;New Mexico;North Carolina;Oregon;Pennsylvania;South Carolina;Virginia;Washington;Wisconsin
IA_2021,Iowa,2021,True,,14,Colorado;Illinois;Louisiana;Michigan;Minnesota;Nevada;New Mexico;North Carolina;Oregon;Pennsylvania;South Carolina;Virginia;Washington;Wisconsin
KS_2015,Kansas,2015,True,,25,Arkansas;Colorado;Florida;Georgia;Indiana;Kentucky;Louisiana;Michigan;Minnesota;Montana;Nebraska;Nevada;New Mexico;North Carolina;Ohio;Oklahoma;Oregon;Pennsylvania;South Carolina;South Dakota;Tennessee;Texas;Utah;Virginia;Washington
KY_2019,Kentucky,2019,True,,17,Alabama;Colorado;Florida;Illinois;Louisiana;Michigan;Minnesota;Nebraska;Nevada;New Mexico;North Carolina;Oregon;Pennsylvania;South Carolina;Virginia;Washington;Wisconsin
ME_2015,Maine,2015,True,,25,Arkansas;Colorado;Florida;Georgia;Indiana;Kentucky;Louisiana;Michigan;Minnesota;Montana;Nebraska;Nevada;New Mexico;North Carolina;Ohio;Oklahoma;Oregon;Pennsylvania;South Carolina;South Dakota;Tennessee;Texas;Utah;Virginia;Washington
MS_2015,Mississippi,2015,True,,25,Arkansas;Colorado;Florida;Georgia;Indiana;Kentucky;Louisiana;Michigan;Minnesota;Montana;Nebraska;Nevada;New Mexico;North Carolina;Ohio;Oklahoma;Oregon;Pennsylvania;South Carolina;South Dakota;Tennessee;Texas;Utah;Virginia;Washington
MO_2017,Missouri,2017,True,,24,Arkansas;Colorado;Florida;Georgia;Indiana;Iowa;Louisiana;Michigan;Minnesota;Montana;Nebraska;Nevada;New Mexico;North Carolina;Ohio;Oregon;Pennsylvania;South Carolina;Tennessee;Texas;Utah;Virginia;Washington;Wisconsin
MT_2021,Montana,2021,True,,14,Colorado;Illinois;Louisiana;Michigan;Minnesota;Nevada;New Mexico;North Carolina;Oregon;Pennsylvania;South Carolina;Virginia;Washington;Wisconsin
NE_2023,Nebraska,2023,False,no treated post-treatment observations after calendar restrictions,14,Colorado;Illinois;Louisiana;Michigan;Minnesota;Nevada;New Mexico;North Carolina;Oregon;Pennsylvania;South Carolina;Virginia;Washington;Wisconsin
NH_2017,New Hampshire,2017,True,,24,Arkansas;Colorado;Florida;Georgia;Indiana;Iowa;Louisiana;Michigan;Minnesota;Montana;Nebraska;Nevada;New Mexico;North Carolina;Ohio;Oregon;Pennsylvania;South Carolina;Tennessee;Texas;Utah;Virginia;Washington;Wisconsin
ND_2017,North Dakota,2017,True,,24,Arkansas;Colorado;Florida;Georgia;Indiana;Iowa;Louisiana;Michigan;Minnesota;Montana;Nebraska;Nevada;New Mexico;North Carolina;Ohio;Oregon;Pennsylvania;South Carolina;Tennessee;Texas;Utah;Virginia;Washington;Wisconsin
OH_2022,Ohio,2022,False,no treated post-treatment observations after calendar restrictions,14,Colorado;Illinois;Louisiana;Michigan;Minnesota;Nevada;New Mexico;North Carolina;Oregon;Pennsylvania;South Carolina;Virginia;Washington;Wisconsin
OK_2019,Oklahoma,2019,True,,17,Alabama;Colorado;Florida;Illinois;Louisiana;Michigan;Minnesota;Nebraska;Nevada;New Mexico;North Carolina;Oregon;Pennsylvania;South Carolina;Virginia;Washington;Wisconsin
SD_2019,South Dakota,2019,True,,17,Alabama;Colorado;Florida;Illinois;Louisiana;Michigan;Minnesota;Nebraska;Nevada;New Mexico;North Carolina;Oregon;Pennsylvania;South Carolina;Virginia;Washington;Wisconsin
TN_2021,Tennessee,2021,True,,14,Colorado;Illinois;Louisiana;Michigan;Minnesota;Nevada;New Mexico;North Carolina;Oregon;Pennsylvania;South Carolina;Virginia;Washington;Wisconsin
TX_2021,Texas,2021,True,,14,Colorado;Illinois;Louisiana;Michigan;Minnesota;Nevada;New Mexico;North Carolina;Oregon;Pennsylvania;South Carolina;Virginia;Washington;Wisconsin
UT_2021,Utah,2021,True,,14,Colorado;Illinois;Louisiana;Michigan;Minnesota;Nevada;New Mexico;North Carolina;Oregon;Pennsylvania;South Carolina;Virginia;Washington;Wisconsin
WV_2016,West Virginia,2016,True,,24,Arkansas;Colorado;Florida;Georgia;Indiana;Iowa;Louisiana;Michigan;Minnesota;Montana;Nebraska;Nevada;New Mexico;North Carolina;Ohio;Oregon;Pennsylvania;South Carolina;Tennessee;Texas;Utah;Virginia;Washington;Wisconsin
WY_2011,Wyoming,2011,True,,31,Arkansas;Colorado;Florida;Georgia;Idaho;Indiana;Kentucky;Louisiana;Maine;Michigan;Minnesota;Mississippi;Missouri;Montana;Nevada;New Hampshire;New Mexico;North Carolina;North Dakota;Ohio;Oklahoma;Oregon;Pennsylvania;South Carolina;South Dakota;Tennessee;Texas;Utah;Virginia;Washington;West Virginia
